dt,Channel,costs
2019-05-09,MediaTornado,6.72
2019-05-10,MediaTornado,8.64
2019-05-11,MediaTornado,11.52
2019-05-12,MediaTornado,9.6
2019-05-13,MediaTornado,8.879999999999999
2019-05-14,MediaTornado,7.199999999999999
2019-05-15,MediaTornado,7.199999999999999
2019-05-16,MediaTornado,11.28
2019-05-17,MediaTornado,7.199999999999999
2019-05-18,MediaTornado,8.64
2019-05-19,MediaTornado,8.64
2019-05-20,MediaTornado,8.4
2019-05-21,MediaTornado,6.4799999999999995
2019-05-22,MediaTornado,8.16
2019-05-23,MediaTornado,6.72
2019-05-24,MediaTornado,5.76
2019-05-25,MediaTornado,7.92
2019-05-26,MediaTornado,6.72
2019-05-27,MediaTornado,7.199999999999999
2019-05-28,MediaTornado,6.72
2019-05-29,MediaTornado,5.52
2019-05-30,MediaTornado,3.84
2019-05-31,MediaTornado,5.76
2019-06-01,MediaTornado,4.32
2019-06-02,MediaTornado,3.5999999999999996
2019-06-03,MediaTornado,4.32
2019-06-04,MediaTornado,4.32
2019-06-05,MediaTornado,2.6399999999999997
2019-06-06,MediaTornado,3.84
2019-06-07,MediaTornado,5.52
2019-06-08,MediaTornado,3.5999999999999996
2019-06-09,MediaTornado,3.36
2019-06-10,MediaTornado,5.52
2019-06-11,MediaTornado,2.6399999999999997
2019-06-12,MediaTornado,3.36
2019-06-13,MediaTornado,4.08
2019-06-14,MediaTornado,5.04
2019-06-15,MediaTornado,3.84
2019-06-16,MediaTornado,5.279999999999999
2019-06-17,MediaTornado,5.279999999999999
2019-06-18,MediaTornado,3.12
2019-06-19,MediaTornado,3.12
2019-06-20,MediaTornado,3.5999999999999996
2019-06-21,MediaTornado,4.08
2019-06-22,MediaTornado,5.76
2019-06-23,MediaTornado,7.199999999999999
2019-06-24,MediaTornado,6.0
2019-06-25,MediaTornado,5.279999999999999
2019-06-26,MediaTornado,5.279999999999999
2019-06-27,MediaTornado,6.24
2019-06-28,MediaTornado,6.96
2019-06-29,MediaTornado,5.52
2019-06-30,MediaTornado,5.279999999999999
2019-07-01,MediaTornado,6.4799999999999995
2019-07-02,MediaTornado,6.24
2019-07-03,MediaTornado,7.4399999999999995
2019-07-04,MediaTornado,6.72
2019-07-05,MediaTornado,6.4799999999999995
2019-07-06,MediaTornado,6.0
2019-07-07,MediaTornado,4.08
2019-07-08,MediaTornado,4.08
2019-07-09,MediaTornado,4.32
2019-07-10,MediaTornado,3.5999999999999996
2019-07-11,MediaTornado,5.279999999999999
2019-07-12,MediaTornado,4.8
2019-07-13,MediaTornado,4.8
2019-07-14,MediaTornado,1.92
2019-07-15,MediaTornado,6.0
2019-07-16,MediaTornado,1.92
2019-07-17,MediaTornado,4.32
2019-07-18,MediaTornado,2.4
2019-07-19,MediaTornado,2.88
2019-07-20,MediaTornado,3.36
2019-07-21,MediaTornado,5.52
2019-07-22,MediaTornado,3.12
2019-07-23,MediaTornado,3.84
2019-07-24,MediaTornado,2.88
2019-07-25,MediaTornado,4.08
2019-07-26,MediaTornado,3.84
2019-07-27,MediaTornado,3.12
2019-07-28,MediaTornado,4.32
2019-07-29,MediaTornado,6.24
2019-07-30,MediaTornado,3.84
2019-07-31,MediaTornado,4.56
2019-08-01,MediaTornado,6.0
2019-08-02,MediaTornado,2.6399999999999997
2019-08-03,MediaTornado,4.8
2019-08-04,MediaTornado,6.96
2019-08-05,MediaTornado,4.8
2019-08-06,MediaTornado,4.08
2019-08-07,MediaTornado,3.5999999999999996
2019-08-08,MediaTornado,3.5999999999999996
2019-08-09,MediaTornado,5.279999999999999
2019-08-10,MediaTornado,3.84
2019-08-11,MediaTornado,3.84
2019-08-12,MediaTornado,6.0
2019-08-13,MediaTornado,5.52
2019-08-14,MediaTornado,5.52
2019-08-15,MediaTornado,4.8
2019-08-16,MediaTornado,4.08
2019-08-17,MediaTornado,8.16
2019-08-18,MediaTornado,6.72
2019-08-19,MediaTornado,5.52
2019-08-20,MediaTornado,4.32
2019-08-21,MediaTornado,5.279999999999999
2019-08-22,MediaTornado,3.5999999999999996
2019-08-23,MediaTornado,5.279999999999999
2019-08-24,MediaTornado,5.52
2019-08-25,MediaTornado,5.76
2019-08-26,MediaTornado,4.8
2019-08-27,MediaTornado,5.279999999999999
2019-08-28,MediaTornado,7.199999999999999
2019-08-29,MediaTornado,4.8
2019-08-30,MediaTornado,3.36
2019-08-31,MediaTornado,3.5999999999999996
2019-09-01,MediaTornado,4.8
2019-09-02,MediaTornado,5.04
2019-09-03,MediaTornado,2.88
2019-09-04,MediaTornado,3.36
2019-09-05,MediaTornado,4.32
2019-09-06,MediaTornado,5.52
2019-09-07,MediaTornado,5.04
2019-09-08,MediaTornado,4.08
2019-09-09,MediaTornado,2.88
2019-09-10,MediaTornado,3.36
2019-09-11,MediaTornado,2.16
2019-09-12,MediaTornado,1.92
2019-09-13,MediaTornado,4.8
2019-09-14,MediaTornado,5.76
2019-09-15,MediaTornado,5.04
2019-09-16,MediaTornado,2.16
2019-09-17,MediaTornado,3.5999999999999996
2019-09-18,MediaTornado,3.84
2019-09-19,MediaTornado,3.5999999999999996
2019-09-20,MediaTornado,6.24
2019-09-21,MediaTornado,6.4799999999999995
2019-09-22,MediaTornado,4.32
2019-09-23,MediaTornado,4.8
2019-09-24,MediaTornado,6.72
2019-09-25,MediaTornado,6.72
2019-09-26,MediaTornado,5.04
2019-09-27,MediaTornado,6.4799999999999995
2019-09-28,MediaTornado,8.64
2019-09-29,MediaTornado,9.84
2019-09-30,MediaTornado,5.279999999999999
2019-10-01,MediaTornado,6.0
2019-10-02,MediaTornado,6.72
2019-10-03,MediaTornado,7.68
2019-10-04,MediaTornado,6.96
2019-10-05,MediaTornado,5.52
2019-10-06,MediaTornado,3.84
2019-10-07,MediaTornado,4.56
2019-10-08,MediaTornado,3.5999999999999996
2019-10-09,MediaTornado,5.52
2019-10-10,MediaTornado,5.76
2019-10-11,MediaTornado,5.52
2019-10-12,MediaTornado,7.199999999999999
2019-10-13,MediaTornado,4.8
2019-10-14,MediaTornado,5.76
2019-10-15,MediaTornado,3.36
2019-10-16,MediaTornado,4.56
2019-10-17,MediaTornado,3.36
2019-10-18,MediaTornado,4.32
2019-10-19,MediaTornado,3.36
2019-10-20,MediaTornado,4.32
2019-10-21,MediaTornado,6.24
2019-10-22,MediaTornado,3.36
2019-10-23,MediaTornado,5.279999999999999
2019-10-24,MediaTornado,5.04
2019-10-25,MediaTornado,6.24
2019-10-26,MediaTornado,6.72
2019-10-27,MediaTornado,4.56
2019-05-01,RocketSuperAds,21.060000000000002
2019-05-02,RocketSuperAds,16.965000000000003
2019-05-03,RocketSuperAds,16.380000000000003
2019-05-04,RocketSuperAds,17.55
2019-05-05,RocketSuperAds,27.495000000000005
2019-05-06,RocketSuperAds,21.645000000000003
2019-05-07,RocketSuperAds,18.720000000000002
2019-05-08,RocketSuperAds,18.135
2019-05-09,RocketSuperAds,18.720000000000002
2019-05-10,RocketSuperAds,22.230000000000004
2019-05-11,RocketSuperAds,18.720000000000002
2019-05-12,RocketSuperAds,21.060000000000002
2019-05-13,RocketSuperAds,17.55
2019-05-14,RocketSuperAds,18.135
2019-05-15,RocketSuperAds,15.210000000000003
2019-05-16,RocketSuperAds,19.890000000000004
2019-05-17,RocketSuperAds,19.890000000000004
2019-05-18,RocketSuperAds,22.815
2019-05-19,RocketSuperAds,24.570000000000004
2019-05-20,RocketSuperAds,16.965000000000003
2019-05-21,RocketSuperAds,17.55
2019-05-22,RocketSuperAds,20.475
2019-05-23,RocketSuperAds,16.965000000000003
2019-05-24,RocketSuperAds,16.965000000000003
2019-05-25,RocketSuperAds,23.400000000000002
2019-05-26,RocketSuperAds,18.720000000000002
2019-05-27,RocketSuperAds,18.135
2019-05-28,RocketSuperAds,16.380000000000003
2019-05-29,RocketSuperAds,12.285000000000002
2019-05-30,RocketSuperAds,11.700000000000001
2019-05-31,RocketSuperAds,11.700000000000001
2019-06-01,RocketSuperAds,14.625000000000002
2019-06-02,RocketSuperAds,12.870000000000001
2019-06-03,RocketSuperAds,9.945000000000002
2019-06-04,RocketSuperAds,6.4350000000000005
2019-06-05,RocketSuperAds,11.115000000000002
2019-06-06,RocketSuperAds,8.775
2019-06-07,RocketSuperAds,12.870000000000001
2019-06-08,RocketSuperAds,10.530000000000001
2019-06-09,RocketSuperAds,16.380000000000003
2019-06-10,RocketSuperAds,12.285000000000002
2019-06-11,RocketSuperAds,5.8500000000000005
2019-06-12,RocketSuperAds,7.020000000000001
2019-06-13,RocketSuperAds,6.4350000000000005
2019-06-14,RocketSuperAds,8.190000000000001
2019-06-15,RocketSuperAds,9.945000000000002
2019-06-16,RocketSuperAds,13.455000000000002
2019-06-17,RocketSuperAds,8.190000000000001
2019-06-18,RocketSuperAds,10.530000000000001
2019-06-19,RocketSuperAds,7.605000000000001
2019-06-20,RocketSuperAds,9.360000000000001
2019-06-21,RocketSuperAds,10.530000000000001
2019-06-22,RocketSuperAds,18.720000000000002
2019-06-23,RocketSuperAds,15.795000000000002
2019-06-24,RocketSuperAds,12.285000000000002
2019-06-25,RocketSuperAds,9.555
2019-06-26,RocketSuperAds,12.739999999999998
2019-06-27,RocketSuperAds,12.284999999999998
2019-06-28,RocketSuperAds,10.465
2019-06-29,RocketSuperAds,6.824999999999999
2019-06-30,RocketSuperAds,14.104999999999999
2019-07-01,RocketSuperAds,9.1
2019-07-02,RocketSuperAds,13.194999999999999
2019-07-03,RocketSuperAds,10.919999999999998
2019-07-04,RocketSuperAds,8.645
2019-07-05,RocketSuperAds,15.469999999999999
2019-07-06,RocketSuperAds,9.1
2019-07-07,RocketSuperAds,8.645
2019-07-08,RocketSuperAds,7.279999999999999
2019-07-09,RocketSuperAds,7.734999999999999
2019-07-10,RocketSuperAds,10.465
2019-07-11,RocketSuperAds,8.19
2019-07-12,RocketSuperAds,6.369999999999999
2019-07-13,RocketSuperAds,7.279999999999999
2019-07-14,RocketSuperAds,8.645
2019-07-15,RocketSuperAds,4.095
2019-07-16,RocketSuperAds,5.459999999999999
2019-07-17,RocketSuperAds,5.914999999999999
2019-07-18,RocketSuperAds,2.7299999999999995
2019-07-19,RocketSuperAds,8.19
2019-07-20,RocketSuperAds,10.01
2019-07-21,RocketSuperAds,5.459999999999999
2019-07-22,RocketSuperAds,9.1
2019-07-23,RocketSuperAds,7.734999999999999
2019-07-24,RocketSuperAds,7.279999999999999
2019-07-25,RocketSuperAds,4.55
2019-07-26,RocketSuperAds,7.279999999999999
2019-07-27,RocketSuperAds,9.555
2019-07-28,RocketSuperAds,9.1
2019-07-29,RocketSuperAds,10.01
2019-07-30,RocketSuperAds,7.279999999999999
2019-07-31,RocketSuperAds,7.279999999999999
2019-08-01,RocketSuperAds,6.369999999999999
2019-08-02,RocketSuperAds,7.279999999999999
2019-08-03,RocketSuperAds,13.194999999999999
2019-08-04,RocketSuperAds,10.465
2019-08-05,RocketSuperAds,14.559999999999999
2019-08-06,RocketSuperAds,10.919999999999998
2019-08-07,RocketSuperAds,7.279999999999999
2019-08-08,RocketSuperAds,5.914999999999999
2019-08-09,RocketSuperAds,11.374999999999998
2019-08-10,RocketSuperAds,12.284999999999998
2019-08-11,RocketSuperAds,7.279999999999999
2019-08-12,RocketSuperAds,5.914999999999999
2019-08-13,RocketSuperAds,8.645
2019-08-14,RocketSuperAds,8.19
2019-08-15,RocketSuperAds,11.374999999999998
2019-08-16,RocketSuperAds,10.01
2019-08-17,RocketSuperAds,6.824999999999999
2019-08-18,RocketSuperAds,11.05
2019-08-19,RocketSuperAds,6.5
2019-08-20,RocketSuperAds,6.175
2019-08-21,RocketSuperAds,3.575
2019-08-22,RocketSuperAds,7.4750000000000005
2019-08-23,RocketSuperAds,3.9000000000000004
2019-08-24,RocketSuperAds,6.825
2019-08-25,RocketSuperAds,5.8500000000000005
2019-08-26,RocketSuperAds,8.775
2019-08-27,RocketSuperAds,8.125
2019-08-28,RocketSuperAds,7.4750000000000005
2019-08-29,RocketSuperAds,5.8500000000000005
2019-08-30,RocketSuperAds,5.8500000000000005
2019-08-31,RocketSuperAds,7.800000000000001
2019-09-01,RocketSuperAds,7.4750000000000005
2019-09-02,RocketSuperAds,6.175
2019-09-03,RocketSuperAds,5.525
2019-09-04,RocketSuperAds,5.525
2019-09-05,RocketSuperAds,5.525
2019-09-06,RocketSuperAds,4.55
2019-09-07,RocketSuperAds,6.175
2019-09-08,RocketSuperAds,7.15
2019-09-09,RocketSuperAds,4.2250000000000005
2019-09-10,RocketSuperAds,6.175
2019-09-11,RocketSuperAds,4.2250000000000005
2019-09-12,RocketSuperAds,4.2250000000000005
2019-09-13,RocketSuperAds,6.175
2019-09-14,RocketSuperAds,8.450000000000001
2019-09-15,RocketSuperAds,7.4750000000000005
2019-09-16,RocketSuperAds,6.175
2019-09-17,RocketSuperAds,7.4750000000000005
2019-09-18,RocketSuperAds,8.775
2019-09-19,RocketSuperAds,8.450000000000001
2019-09-20,RocketSuperAds,8.125
2019-09-21,RocketSuperAds,7.800000000000001
2019-09-22,RocketSuperAds,9.425
2019-09-23,RocketSuperAds,10.4
2019-09-24,RocketSuperAds,9.75
2019-09-25,RocketSuperAds,7.800000000000001
2019-09-26,RocketSuperAds,7.4750000000000005
2019-09-27,RocketSuperAds,6.5
2019-09-28,RocketSuperAds,11.375
2019-09-29,RocketSuperAds,10.4
2019-09-30,RocketSuperAds,9.425
2019-10-01,RocketSuperAds,10.075000000000001
2019-10-02,RocketSuperAds,7.800000000000001
2019-10-03,RocketSuperAds,7.4750000000000005
2019-10-04,RocketSuperAds,10.4
2019-10-05,RocketSuperAds,11.700000000000001
2019-10-06,RocketSuperAds,9.425
2019-10-07,RocketSuperAds,8.450000000000001
2019-10-08,RocketSuperAds,7.4750000000000005
2019-10-09,RocketSuperAds,7.800000000000001
2019-10-10,RocketSuperAds,8.450000000000001
2019-10-11,RocketSuperAds,7.4750000000000005
2019-10-12,RocketSuperAds,6.5
2019-10-13,RocketSuperAds,5.525
2019-10-14,RocketSuperAds,6.5
2019-10-15,RocketSuperAds,5.525
2019-10-16,RocketSuperAds,2.9250000000000003
2019-10-17,RocketSuperAds,8.450000000000001
2019-10-18,RocketSuperAds,7.15
2019-10-19,RocketSuperAds,8.125
2019-10-20,RocketSuperAds,7.800000000000001
2019-10-21,RocketSuperAds,11.05
2019-10-22,RocketSuperAds,6.5
2019-10-23,RocketSuperAds,5.525
2019-10-24,RocketSuperAds,5.8500000000000005
2019-10-25,RocketSuperAds,7.15
2019-10-26,RocketSuperAds,4.55
2019-10-27,RocketSuperAds,10.075000000000001
2019-05-01,TipTop,80.0
2019-05-02,TipTop,55.0
2019-05-03,TipTop,64.0
2019-05-04,TipTop,70.0
2019-05-05,TipTop,78.0
2019-05-06,TipTop,78.0
2019-05-07,TipTop,77.0
2019-05-08,TipTop,57.0
2019-05-09,TipTop,46.0
2019-05-10,TipTop,74.0
2019-05-11,TipTop,82.0
2019-05-12,TipTop,56.0
2019-05-13,TipTop,84.0
2019-05-14,TipTop,60.0
2019-05-15,TipTop,49.0
2019-05-16,TipTop,59.0
2019-05-17,TipTop,61.0
2019-05-18,TipTop,83.0
2019-05-19,TipTop,58.0
2019-05-20,TipTop,110.19999999999999
2019-05-21,TipTop,96.89999999999999
2019-05-22,TipTop,104.5
2019-05-23,TipTop,129.2
2019-05-24,TipTop,102.6
2019-05-25,TipTop,115.89999999999999
2019-05-26,TipTop,142.5
2019-05-27,TipTop,131.1
2019-05-28,TipTop,159.6
2019-05-29,TipTop,212.79999999999998
2019-05-30,TipTop,153.9
2019-05-31,TipTop,250.79999999999998
2019-06-01,TipTop,283.09999999999997
2019-06-02,TipTop,229.89999999999998
2019-06-03,TipTop,176.7
2019-06-04,TipTop,182.39999999999998
2019-06-05,TipTop,155.79999999999998
2019-06-06,TipTop,155.79999999999998
2019-06-07,TipTop,195.7
2019-06-08,TipTop,178.6
2019-06-09,TipTop,178.6
2019-06-10,TipTop,133.0
2019-06-11,TipTop,146.29999999999998
2019-06-12,TipTop,150.1
2019-06-13,TipTop,127.3
2019-06-14,TipTop,163.4
2019-06-15,TipTop,190.0
2019-06-16,TipTop,210.89999999999998
2019-06-17,TipTop,178.6
2019-06-18,TipTop,172.9
2019-06-19,TipTop,186.2
2019-06-20,TipTop,184.29999999999998
2019-06-21,TipTop,203.29999999999998
2019-06-22,TipTop,286.9
2019-06-23,TipTop,262.2
2019-06-24,TipTop,258.4
2019-06-25,TipTop,351.0
2019-06-26,TipTop,338.0
2019-06-27,TipTop,325.0
2019-06-28,TipTop,405.6
2019-06-29,TipTop,322.40000000000003
2019-06-30,TipTop,343.2
2019-07-01,TipTop,387.40000000000003
2019-07-02,TipTop,345.8
2019-07-03,TipTop,301.6
2019-07-04,TipTop,335.40000000000003
2019-07-05,TipTop,335.40000000000003
2019-07-06,TipTop,317.2
2019-07-07,TipTop,317.2
2019-07-08,TipTop,265.2
2019-07-09,TipTop,231.4
2019-07-10,TipTop,252.20000000000002
2019-07-11,TipTop,223.6
2019-07-12,TipTop,288.6
2019-07-13,TipTop,286.0
2019-07-14,TipTop,273.0
2019-07-15,TipTop,236.6
2019-07-16,TipTop,176.8
2019-07-17,TipTop,187.20000000000002
2019-07-18,TipTop,213.20000000000002
2019-07-19,TipTop,223.6
2019-07-20,TipTop,265.2
2019-07-21,TipTop,249.60000000000002
2019-07-22,TipTop,202.8
2019-07-23,TipTop,202.8
2019-07-24,TipTop,208.0
2019-07-25,TipTop,210.6
2019-07-26,TipTop,286.0
2019-07-27,TipTop,270.40000000000003
2019-07-28,TipTop,332.8
2019-07-29,TipTop,330.2
2019-07-30,TipTop,309.40000000000003
2019-07-31,TipTop,345.0
2019-08-01,TipTop,384.0
2019-08-02,TipTop,321.0
2019-08-03,TipTop,387.0
2019-08-04,TipTop,417.0
2019-08-05,TipTop,339.0
2019-08-06,TipTop,303.0
2019-08-07,TipTop,318.0
2019-08-08,TipTop,321.0
2019-08-09,TipTop,375.0
2019-08-10,TipTop,387.0
2019-08-11,TipTop,405.0
2019-08-12,TipTop,399.0
2019-08-13,TipTop,321.0
2019-08-14,TipTop,306.0
2019-08-15,TipTop,324.0
2019-08-16,TipTop,342.0
2019-08-17,TipTop,396.0
2019-08-18,TipTop,450.0
2019-08-19,TipTop,354.0
2019-08-20,TipTop,339.0
2019-08-21,TipTop,351.0
2019-08-22,TipTop,351.0
2019-08-23,TipTop,336.0
2019-08-24,TipTop,399.0
2019-08-25,TipTop,384.0
2019-08-26,TipTop,366.0
2019-08-27,TipTop,399.0
2019-08-28,TipTop,351.0
2019-08-29,TipTop,318.0
2019-08-30,TipTop,381.0
2019-08-31,TipTop,378.0
2019-09-01,TipTop,390.0
2019-09-02,TipTop,354.0
2019-09-03,TipTop,312.0
2019-09-04,TipTop,325.5
2019-09-05,TipTop,378.0
2019-09-06,TipTop,413.0
2019-09-07,TipTop,409.5
2019-09-08,TipTop,371.0
2019-09-09,TipTop,315.0
2019-09-10,TipTop,311.5
2019-09-11,TipTop,308.0
2019-09-12,TipTop,315.0
2019-09-13,TipTop,308.0
2019-09-14,TipTop,472.5
2019-09-15,TipTop,476.0
2019-09-16,TipTop,343.0
2019-09-17,TipTop,420.0
2019-09-18,TipTop,413.0
2019-09-19,TipTop,399.0
2019-09-20,TipTop,535.5
2019-09-21,TipTop,514.5
2019-09-22,TipTop,616.0
2019-09-23,TipTop,570.5
2019-09-24,TipTop,556.5
2019-09-25,TipTop,479.5
2019-09-26,TipTop,542.5
2019-09-27,TipTop,602.0
2019-09-28,TipTop,623.0
2019-09-29,TipTop,605.5
2019-09-30,TipTop,553.0
2019-10-01,TipTop,528.5
2019-10-02,TipTop,448.0
2019-10-03,TipTop,630.0
2019-10-04,TipTop,542.5
2019-10-05,TipTop,437.5
2019-10-06,TipTop,563.5
2019-10-07,TipTop,451.5
2019-10-08,TipTop,458.5
2019-10-09,TipTop,381.5
2019-10-10,TipTop,448.0
2019-10-11,TipTop,483.0
2019-10-12,TipTop,455.0
2019-10-13,TipTop,420.0
2019-10-14,TipTop,325.5
2019-10-15,TipTop,308.0
2019-10-16,TipTop,353.5
2019-10-17,TipTop,353.5
2019-10-18,TipTop,451.5
