record_id,item_topic,source_topic,age_segment,dt,visits
1040795,Деньги,Еда,45+,2019-09-24 18:58:00,3
1040796,Деньги,Здоровье,18-25,2019-09-24 18:31:00,2
1040797,Деньги,Здоровье,18-25,2019-09-24 18:54:00,3
1040798,Деньги,Здоровье,18-25,2019-09-24 18:55:00,5
1040799,Деньги,Здоровье,18-25,2019-09-24 18:56:00,3
1040800,Деньги,Здоровье,18-25,2019-09-24 18:57:00,7
1040801,Деньги,Здоровье,18-25,2019-09-24 18:58:00,6
1040802,Деньги,Здоровье,18-25,2019-09-24 18:59:00,6
1040803,Деньги,Здоровье,18-25,2019-09-24 19:00:00,1
1040804,Деньги,Здоровье,26-30,2019-09-24 18:54:00,3
1040805,Деньги,Здоровье,26-30,2019-09-24 18:55:00,2
1040806,Деньги,Здоровье,26-30,2019-09-24 18:57:00,2
1040807,Деньги,Здоровье,26-30,2019-09-24 18:58:00,1
1040808,Деньги,Здоровье,26-30,2019-09-24 19:00:00,1
1040809,Деньги,Здоровье,31-35,2019-09-24 18:56:00,3
1040810,Деньги,Здоровье,31-35,2019-09-24 18:57:00,4
1040811,Деньги,Здоровье,31-35,2019-09-24 18:58:00,3
1040812,Деньги,Здоровье,31-35,2019-09-24 18:59:00,1
1040813,Деньги,Здоровье,36-40,2019-09-24 18:33:00,1
1040814,Деньги,Здоровье,36-40,2019-09-24 18:57:00,2
1040815,Деньги,Здоровье,36-40,2019-09-24 18:59:00,3
1040816,Деньги,Здоровье,41-45,2019-09-24 18:55:00,1
1040817,Деньги,Здоровье,41-45,2019-09-24 18:56:00,2
1040818,Деньги,Здоровье,41-45,2019-09-24 19:00:00,1
1040819,Деньги,Здоровье,45+,2019-09-24 18:59:00,1
1040820,Деньги,Здоровье,45+,2019-09-24 19:00:00,1
1040821,Деньги,Знаменитости,18-25,2019-09-24 18:28:00,1
1040822,Деньги,Знаменитости,18-25,2019-09-24 18:29:00,3
1040823,Деньги,Знаменитости,18-25,2019-09-24 18:30:00,1
1040824,Деньги,Знаменитости,18-25,2019-09-24 18:31:00,2
1040825,Деньги,Знаменитости,18-25,2019-09-24 18:32:00,2
1040826,Деньги,Знаменитости,18-25,2019-09-24 18:33:00,2
1040827,Деньги,Знаменитости,18-25,2019-09-24 18:52:00,1
1040828,Деньги,Знаменитости,18-25,2019-09-24 18:53:00,2
1040829,Деньги,Знаменитости,18-25,2019-09-24 18:54:00,7
1040830,Деньги,Знаменитости,18-25,2019-09-24 18:55:00,23
1040831,Деньги,Знаменитости,18-25,2019-09-24 18:56:00,38
1040832,Деньги,Знаменитости,18-25,2019-09-24 18:57:00,42
1040833,Деньги,Знаменитости,18-25,2019-09-24 18:58:00,43
1040834,Деньги,Знаменитости,18-25,2019-09-24 18:59:00,44
1040835,Деньги,Знаменитости,18-25,2019-09-24 19:00:00,14
1040836,Деньги,Знаменитости,26-30,2019-09-24 18:31:00,3
1040837,Деньги,Знаменитости,26-30,2019-09-24 18:32:00,3
1040838,Деньги,Знаменитости,26-30,2019-09-24 18:54:00,5
1040839,Деньги,Знаменитости,26-30,2019-09-24 18:55:00,4
1040840,Деньги,Знаменитости,26-30,2019-09-24 18:56:00,13
1040841,Деньги,Знаменитости,26-30,2019-09-24 18:57:00,13
1040842,Деньги,Знаменитости,26-30,2019-09-24 18:58:00,21
1040843,Деньги,Знаменитости,26-30,2019-09-24 18:59:00,12
1040844,Деньги,Знаменитости,26-30,2019-09-24 19:00:00,4
1040845,Деньги,Знаменитости,31-35,2019-09-24 18:29:00,2
1040846,Деньги,Знаменитости,31-35,2019-09-24 18:31:00,4
1040847,Деньги,Знаменитости,31-35,2019-09-24 18:33:00,1
1040848,Деньги,Знаменитости,31-35,2019-09-24 18:52:00,1
1040849,Деньги,Знаменитости,31-35,2019-09-24 18:54:00,7
1040850,Деньги,Знаменитости,31-35,2019-09-24 18:55:00,15
1040851,Деньги,Знаменитости,31-35,2019-09-24 18:56:00,24
1040852,Деньги,Знаменитости,31-35,2019-09-24 18:57:00,24
1040853,Деньги,Знаменитости,31-35,2019-09-24 18:58:00,24
1040854,Деньги,Знаменитости,31-35,2019-09-24 18:59:00,20
1040855,Деньги,Знаменитости,31-35,2019-09-24 19:00:00,8
1040856,Деньги,Знаменитости,36-40,2019-09-24 18:28:00,1
1040857,Деньги,Знаменитости,36-40,2019-09-24 18:29:00,3
1040858,Деньги,Знаменитости,36-40,2019-09-24 18:30:00,1
1040859,Деньги,Знаменитости,36-40,2019-09-24 18:32:00,3
1040860,Деньги,Знаменитости,36-40,2019-09-24 18:53:00,1
1040861,Деньги,Знаменитости,36-40,2019-09-24 18:54:00,6
1040862,Деньги,Знаменитости,36-40,2019-09-24 18:55:00,6
1040863,Деньги,Знаменитости,36-40,2019-09-24 18:56:00,14
1040864,Деньги,Знаменитости,36-40,2019-09-24 18:57:00,24
1040865,Деньги,Знаменитости,36-40,2019-09-24 18:58:00,22
1040866,Деньги,Знаменитости,36-40,2019-09-24 18:59:00,16
1040867,Деньги,Знаменитости,36-40,2019-09-24 19:00:00,7
1040868,Деньги,Знаменитости,41-45,2019-09-24 18:55:00,3
1040869,Деньги,Знаменитости,41-45,2019-09-24 18:56:00,3
1040870,Деньги,Знаменитости,41-45,2019-09-24 18:57:00,15
1040871,Деньги,Знаменитости,41-45,2019-09-24 18:58:00,8
1040872,Деньги,Знаменитости,41-45,2019-09-24 18:59:00,5
1040873,Деньги,Знаменитости,45+,2019-09-24 18:29:00,1
1040874,Деньги,Знаменитости,45+,2019-09-24 18:55:00,1
1040875,Деньги,Знаменитости,45+,2019-09-24 18:56:00,1
1040876,Деньги,Знаменитости,45+,2019-09-24 18:57:00,4
1040877,Деньги,Знаменитости,45+,2019-09-24 18:58:00,9
1040878,Деньги,Знаменитости,45+,2019-09-24 18:59:00,2
1040879,Деньги,Знаменитости,45+,2019-09-24 19:00:00,2
1040880,Деньги,Интерьеры,18-25,2019-09-24 18:29:00,1
1040881,Деньги,Интерьеры,18-25,2019-09-24 18:54:00,3
1040882,Деньги,Интерьеры,18-25,2019-09-24 18:56:00,7
1040883,Деньги,Интерьеры,18-25,2019-09-24 18:57:00,4
1040884,Деньги,Интерьеры,18-25,2019-09-24 18:58:00,4
1040885,Деньги,Интерьеры,18-25,2019-09-24 18:59:00,5
1040886,Деньги,Интерьеры,18-25,2019-09-24 19:00:00,3
1040887,Деньги,Интерьеры,26-30,2019-09-24 18:55:00,5
1040888,Деньги,Интерьеры,26-30,2019-09-24 18:56:00,1
1040889,Деньги,Интерьеры,26-30,2019-09-24 18:57:00,4
1040890,Деньги,Интерьеры,26-30,2019-09-24 18:58:00,2
1040891,Деньги,Интерьеры,26-30,2019-09-24 18:59:00,3
1040892,Деньги,Интерьеры,31-35,2019-09-24 18:30:00,1
1040893,Деньги,Интерьеры,31-35,2019-09-24 18:54:00,1
1040894,Деньги,Интерьеры,31-35,2019-09-24 18:55:00,1
1040895,Деньги,Интерьеры,31-35,2019-09-24 18:56:00,2
1040896,Деньги,Интерьеры,31-35,2019-09-24 18:57:00,1
1040897,Деньги,Интерьеры,31-35,2019-09-24 18:59:00,2
1040898,Деньги,Интерьеры,31-35,2019-09-24 19:00:00,1
1040899,Деньги,Интерьеры,36-40,2019-09-24 18:56:00,4
1040900,Деньги,Интерьеры,36-40,2019-09-24 18:58:00,1
1040901,Деньги,Интерьеры,36-40,2019-09-24 18:59:00,2
1040902,Деньги,Интерьеры,41-45,2019-09-24 18:55:00,1
1040903,Деньги,Интерьеры,45+,2019-09-24 18:56:00,2
1040904,Деньги,Интерьеры,45+,2019-09-24 18:59:00,1
1040905,Деньги,Искусство,18-25,2019-09-24 18:31:00,2
1040906,Деньги,Искусство,18-25,2019-09-24 18:52:00,2
1040907,Деньги,Искусство,18-25,2019-09-24 18:54:00,1
1040908,Деньги,Искусство,18-25,2019-09-24 18:55:00,9
1040909,Деньги,Искусство,18-25,2019-09-24 18:56:00,12
1040910,Деньги,Искусство,18-25,2019-09-24 18:57:00,19
1040911,Деньги,Искусство,18-25,2019-09-24 18:58:00,17
1040912,Деньги,Искусство,18-25,2019-09-24 18:59:00,9
1040913,Деньги,Искусство,18-25,2019-09-24 19:00:00,4
1040914,Деньги,Искусство,26-30,2019-09-24 18:31:00,1
1040915,Деньги,Искусство,26-30,2019-09-24 18:32:00,1
1040916,Деньги,Искусство,26-30,2019-09-24 18:54:00,1
1040917,Деньги,Искусство,26-30,2019-09-24 18:55:00,4
1040918,Деньги,Искусство,26-30,2019-09-24 18:56:00,6
1040919,Деньги,Искусство,26-30,2019-09-24 18:57:00,9
1040920,Деньги,Искусство,26-30,2019-09-24 18:58:00,11
1040921,Деньги,Искусство,26-30,2019-09-24 18:59:00,3
1040922,Деньги,Искусство,26-30,2019-09-24 19:00:00,2
1040923,Деньги,Искусство,31-35,2019-09-24 18:32:00,1
1040924,Деньги,Искусство,31-35,2019-09-24 18:54:00,2
1040925,Деньги,Искусство,31-35,2019-09-24 18:55:00,3
1040926,Деньги,Искусство,31-35,2019-09-24 18:56:00,4
1040927,Деньги,Искусство,31-35,2019-09-24 18:57:00,1
1040928,Деньги,Искусство,31-35,2019-09-24 18:58:00,9
1040929,Деньги,Искусство,31-35,2019-09-24 18:59:00,4
1040930,Деньги,Искусство,31-35,2019-09-24 19:00:00,2
1040931,Деньги,Искусство,36-40,2019-09-24 18:29:00,1
1040932,Деньги,Искусство,36-40,2019-09-24 18:54:00,1
1040933,Деньги,Искусство,36-40,2019-09-24 18:55:00,1
1040934,Деньги,Искусство,36-40,2019-09-24 18:57:00,7
1040935,Деньги,Искусство,36-40,2019-09-24 18:58:00,4
1040936,Деньги,Искусство,36-40,2019-09-24 18:59:00,2
1040937,Деньги,Искусство,36-40,2019-09-24 19:00:00,3
1040938,Деньги,Искусство,41-45,2019-09-24 18:55:00,1
1040939,Деньги,Искусство,41-45,2019-09-24 18:56:00,1
1040940,Деньги,Искусство,41-45,2019-09-24 18:57:00,2
1040941,Деньги,Искусство,41-45,2019-09-24 18:58:00,2
1040942,Деньги,Искусство,41-45,2019-09-24 18:59:00,2
1040943,Деньги,Искусство,41-45,2019-09-24 19:00:00,1
1040944,Деньги,Искусство,45+,2019-09-24 18:29:00,1
1040945,Деньги,Искусство,45+,2019-09-24 18:55:00,1
1040946,Деньги,Искусство,45+,2019-09-24 18:57:00,1
1040947,Деньги,Искусство,45+,2019-09-24 18:58:00,1
1040948,Деньги,Искусство,45+,2019-09-24 18:59:00,1
1040949,Деньги,История,18-25,2019-09-24 18:30:00,3
1040950,Деньги,История,18-25,2019-09-24 18:31:00,1
1040951,Деньги,История,18-25,2019-09-24 18:32:00,3
1040952,Деньги,История,18-25,2019-09-24 18:33:00,1
1040953,Деньги,История,18-25,2019-09-24 18:54:00,6
1040954,Деньги,История,18-25,2019-09-24 18:55:00,6
1040955,Деньги,История,18-25,2019-09-24 18:56:00,21
1040956,Деньги,История,18-25,2019-09-24 18:57:00,22
1040957,Деньги,История,18-25,2019-09-24 18:58:00,19
1040958,Деньги,История,18-25,2019-09-24 18:59:00,21
1040959,Деньги,История,18-25,2019-09-24 19:00:00,5
1040960,Деньги,История,26-30,2019-09-24 18:29:00,1
1040961,Деньги,История,26-30,2019-09-24 18:31:00,1
1040962,Деньги,История,26-30,2019-09-24 18:32:00,1
1040963,Деньги,История,26-30,2019-09-24 18:34:00,1
1040964,Деньги,История,26-30,2019-09-24 18:54:00,2
1040965,Деньги,История,26-30,2019-09-24 18:55:00,5
1040966,Деньги,История,26-30,2019-09-24 18:56:00,5
1040967,Деньги,История,26-30,2019-09-24 18:57:00,10
1040968,Деньги,История,26-30,2019-09-24 18:58:00,6
1040969,Деньги,История,26-30,2019-09-24 18:59:00,13
1040970,Деньги,История,26-30,2019-09-24 19:00:00,2
1040971,Деньги,История,31-35,2019-09-24 18:54:00,2
1040972,Деньги,История,31-35,2019-09-24 18:55:00,4
1040973,Деньги,История,31-35,2019-09-24 18:56:00,6
1040974,Деньги,История,31-35,2019-09-24 18:57:00,10
1040975,Деньги,История,31-35,2019-09-24 18:58:00,14
1040976,Деньги,История,31-35,2019-09-24 18:59:00,16
1040977,Деньги,История,31-35,2019-09-24 19:00:00,4
1040978,Деньги,История,36-40,2019-09-24 18:30:00,1
1040979,Деньги,История,36-40,2019-09-24 18:33:00,1
1040980,Деньги,История,36-40,2019-09-24 18:34:00,1
1040981,Деньги,История,36-40,2019-09-24 18:54:00,1
1040982,Деньги,История,36-40,2019-09-24 18:55:00,3
1040983,Деньги,История,36-40,2019-09-24 18:56:00,5
1040984,Деньги,История,36-40,2019-09-24 18:57:00,6
1040985,Деньги,История,36-40,2019-09-24 18:58:00,10
1040986,Деньги,История,36-40,2019-09-24 18:59:00,2
1040987,Деньги,История,36-40,2019-09-24 19:00:00,3
1040988,Деньги,История,41-45,2019-09-24 18:54:00,1
1040989,Деньги,История,41-45,2019-09-24 18:55:00,2
1040990,Деньги,История,41-45,2019-09-24 18:56:00,2
1040991,Деньги,История,41-45,2019-09-24 18:57:00,5
1040992,Деньги,История,41-45,2019-09-24 18:58:00,6
1040993,Деньги,История,41-45,2019-09-24 18:59:00,3
1040994,Деньги,История,41-45,2019-09-24 19:00:00,2
1040995,Деньги,История,45+,2019-09-24 18:56:00,1
1040996,Деньги,История,45+,2019-09-24 18:57:00,2
1040997,Деньги,История,45+,2019-09-24 18:59:00,2
1040998,Деньги,История,45+,2019-09-24 19:00:00,1
1040999,Деньги,Кино,18-25,2019-09-24 18:28:00,1
1041000,Деньги,Кино,18-25,2019-09-24 18:29:00,1
1041001,Деньги,Кино,18-25,2019-09-24 18:30:00,3
1041002,Деньги,Кино,18-25,2019-09-24 18:32:00,1
1041003,Деньги,Кино,18-25,2019-09-24 18:33:00,2
1041004,Деньги,Кино,18-25,2019-09-24 18:52:00,1
1041005,Деньги,Кино,18-25,2019-09-24 18:53:00,2
1041006,Деньги,Кино,18-25,2019-09-24 18:54:00,17
1041007,Деньги,Кино,18-25,2019-09-24 18:55:00,44
1041008,Деньги,Кино,18-25,2019-09-24 18:56:00,71
1041009,Деньги,Кино,18-25,2019-09-24 18:57:00,79
1041010,Деньги,Кино,18-25,2019-09-24 18:58:00,74
1041011,Деньги,Кино,18-25,2019-09-24 18:59:00,82
1041012,Деньги,Кино,18-25,2019-09-24 19:00:00,19
1041013,Деньги,Кино,26-30,2019-09-24 18:29:00,2
1041014,Деньги,Кино,26-30,2019-09-24 18:30:00,1
1041015,Деньги,Кино,26-30,2019-09-24 18:31:00,1
1041016,Деньги,Кино,26-30,2019-09-24 18:32:00,1
1041017,Деньги,Кино,26-30,2019-09-24 18:52:00,3
1041018,Деньги,Кино,26-30,2019-09-24 18:53:00,4
1041019,Деньги,Кино,26-30,2019-09-24 18:54:00,6
1041020,Деньги,Кино,26-30,2019-09-24 18:55:00,22
1041021,Деньги,Кино,26-30,2019-09-24 18:56:00,47
1041022,Деньги,Кино,26-30,2019-09-24 18:57:00,46
1041023,Деньги,Кино,26-30,2019-09-24 18:58:00,57
1041024,Деньги,Кино,26-30,2019-09-24 18:59:00,30
